Kennewick.O3,Kennewick.OZONE_AIRPACT4,WRF_4km_BCAA.Surface_pres_Pa,WRF_4km_BCAA.PBL_m,WRF_4km_BCAA.T_K,WRF_4km_BCAA.windspeed_m_per_s,WRF_4km_BCAA.WindDir_deg,WRF_4km_BCAA.RH_pct,Wildfire_smoke_caused_excess_ozone_YN,date
24.0,32.0,99968.11,553.7588,281.81036,3.6916053,249.53273,54.7,N,2017-05-01 00:00:00
26.0,30.7,99983.15,464.83887000000004,281.32097999999996,3.8698912000000005,247.66855,58.5,N,2017-05-01 01:00:00
,30.6,99998.875,136.03242,280.87787000000003,4.1792383,219.49602000000002,60.9,N,2017-05-01 02:00:00
31.0,29.8,100014.81,141.84686000000002,280.30835,3.813807,224.15327000000002,64.5,N,2017-05-01 03:00:00
29.0,28.5,100033.03,109.70721,280.08246,4.293839,216.4652,65.7,N,2017-05-01 04:00:00
24.0,28.8,100015.57,117.71676000000001,279.78488,4.9126353,209.06856000000002,68.3,N,2017-05-01 05:00:00
25.0,29.9,99999.945,103.137886,281.52396,5.056108,205.81325,61.9,N,2017-05-01 06:00:00
31.0,32.9,99989.35,242.3895,283.10126,4.9077459999999995,199.65742,55.5,N,2017-05-01 07:00:00
33.0,35.6,99930.19,513.1806,284.75955,4.5359077,207.51967,46.4,N,2017-05-01 08:00:00
,38.0,99885.0,647.51465,286.284,5.306206700000001,215.04733,39.2,N,2017-05-01 09:00:00
,40.6,99847.06,924.8067599999999,287.60927999999996,5.825926,217.51434,31.6,N,2017-05-01 10:00:00
34.0,41.6,99800.77,1807.4921,289.20052999999996,6.444962,216.27287,26.7,N,2017-05-01 11:00:00
40.0,43.5,99748.22,1760.1989,289.64557,5.7705894,217.27827000000002,27.1,N,2017-05-01 12:00:00
,42.6,99638.96,1550.3379,290.05627000000004,7.1334157000000005,210.94339,32.6,N,2017-05-01 13:00:00
,41.2,99527.75,1594.6267,290.64926,6.7972465,219.959,33.0,N,2017-05-01 14:00:00
,39.2,99425.79,1422.8967,291.15878,7.1784873,216.26071000000002,31.7,N,2017-05-01 15:00:00
57.0,35.8,99328.33,1282.6938,291.44574,7.099557400000001,216.61359,34.0,N,2017-05-01 16:00:00
53.0,32.8,99261.65,1029.4923,291.28693,8.174008,230.20537000000002,38.5,N,2017-05-01 17:00:00
51.0,31.9,99222.055,411.58682000000005,289.7808,8.619388,224.5962,42.3,N,2017-05-01 18:00:00
44.0,31.9,99212.28,66.547035,288.65518,7.709922,220.85483,46.1,N,2017-05-01 19:00:00
37.0,32.1,99246.28,60.54173,287.76672,7.686564,220.32612999999998,48.4,N,2017-05-01 20:00:00
34.0,30.5,99247.2,58.19104399999999,287.11237,6.976789999999999,219.6544,51.2,N,2017-05-01 21:00:00
31.0,29.1,99267.03,49.383224,286.64886,5.8743625,218.41227999999998,54.3,N,2017-05-01 22:00:00
35.0,27.9,99321.04,379.22342000000003,285.5291,5.226644,224.14886,59.8,N,2017-05-01 23:00:00
39.0,25.8,99489.484,434.9827,282.13347999999996,2.516076,255.07343999999998,69.7,N,2017-05-02 00:00:00
27.0,23.9,99518.24,446.63527999999997,283.45526,1.9106593,259.78244,62.9,N,2017-05-02 01:00:00
23.0,23.0,99524.03,446.75005999999996,283.30835,1.7288044999999999,262.38736,63.7,N,2017-05-02 02:00:00
18.0,23.1,99562.29,349.8094,281.4017,2.2302496,249.72582999999997,69.8,N,2017-05-02 03:00:00
19.0,23.5,99626.914,341.07842999999997,282.3839,1.7254886999999999,250.88449,65.8,N,2017-05-02 04:00:00
18.0,18.9,99652.32,329.15692,282.73785,1.204787,270.63126,63.9,N,2017-05-02 05:00:00
17.0,16.6,99695.09,30.782108,282.94592,1.0772865,323.55658,66.7,N,2017-05-02 06:00:00
10.0,21.5,99762.79,283.65985,283.18594,1.1608659,337.61102,61.0,N,2017-05-02 07:00:00
19.0,23.5,99784.8,324.4094,283.61935,0.99242663,333.92172,57.4,N,2017-05-02 08:00:00
26.0,24.5,99815.39,487.0634,284.71582,1.0756059999999998,352.57732999999996,52.4,N,2017-05-02 09:00:00
35.0,25.0,99824.89,523.8778,286.5735,1.8394897000000001,8.778839,47.3,N,2017-05-02 10:00:00
41.0,26.7,99808.875,1150.5092,288.9518,2.4313807,37.856964000000005,42.2,N,2017-05-02 11:00:00
